Last raw reading: 412	Time since start: 1585025microseconds
Last raw reading: 136	Time since start: 1590026microseconds
Last raw reading: 593	Time since start: 1595026microseconds
Last raw reading: 753	Time since start: 1600026microseconds
Last raw reading: 577	Time since start: 1605026microseconds
Last raw reading: 180	Time since start: 1610026microseconds
Last raw reading: 611	Time since start: 1615026microseconds
Last raw reading: 885	Time since start: 1620026microseconds
Last raw reading: 391	Time since start: 1625026microseconds
Last raw reading: 111	Time since start: 1630026microseconds
Last raw reading: 37	Time since start: 1635026microseconds
Last raw reading: 627	Time since start: 1640026microseconds
Last raw reading: 846	Time since start: 1645026microseconds
Last raw reading: 589	Time since start: 1650026microseconds
Last raw reading: 295	Time since start: 1655026microseconds
Last raw reading: 318	Time since start: 1660026microseconds
Last raw reading: 638	Time since start: 1665026microseconds
Last raw reading: 800	Time since start: 1670026microseconds
Last raw reading: 462	Time since start: 1675026microseconds
Last raw reading: 198	Time since start: 1680026microseconds
Last raw reading: 416	Time since start: 1685026microseconds
Last raw reading: 409	Time since start: 1690026microseconds
Last raw reading: 159	Time since start: 1695026microseconds
Last raw reading: 77	Time since start: 1700026microseconds
Last raw reading: 360	Time since start: 1705026microseconds
Last raw reading: 98	Time since start: 1710026microseconds
Last raw reading: 500	Time since start: 1715026microseconds
Last raw reading: 879	Time since start: 1720026microseconds
Last raw reading: 716	Time since start: 1725026microseconds
Last raw reading: 534	Time since start: 1730026microseconds
Last raw reading: 639	Time since start: 1735026microseconds
Last raw reading: 747	Time since start: 1740027microseconds
Last raw reading: 509	Time since start: 1745026microseconds
Last raw reading: 161	Time since start: 1750027microseconds
Last raw reading: 51	Time since start: 1755027microseconds
Last raw reading: 19	Time since start: 1760027microseconds
Last raw reading: 610	Time since start: 1765027microseconds
Last raw reading: 438	Time since start: 1770027microseconds
Last raw reading: 121	Time since start: 1775027microseconds
Last raw reading: 263	Time since start: 1780027microseconds
Last raw reading: 655	Time since start: 1785027microseconds
Last raw reading: 581	Time since start: 1790027microseconds
Last raw reading: 414	Time since start: 1795027microseconds
Last raw reading: 120	Time since start: 1800027microseconds
Last raw reading: 39	Time since start: 1805027microseconds
Last raw reading: 26	Time since start: 1810027microseconds
Last raw reading: 701	Time since start: 1815027microseconds
Last raw reading: 813	Time since start: 1820027microseconds
Last raw reading: 437	Time since start: 1825027microseconds
Last raw reading: 280	Time since start: 1830027microseconds
Last raw reading: 472	Time since start: 1835027microseconds
Last raw reading: 621	Time since start: 1840027microseconds
Last raw reading: 490	Time since start: 1845027microseconds
Last raw reading: 134	Time since start: 1850027microseconds
Last raw reading: 246	Time since start: 1855027microseconds
Last raw reading: 775	Time since start: 1860027microseconds
Last raw reading: 379	Time since start: 1865027microseconds
Last raw reading: 108	Time since start: 1870027microseconds
Last raw reading: 680	Time since start: 1875027microseconds
Last raw reading: 548	Time since start: 1880027microseconds
Last raw reading: 782	Time since start: 1885027microseconds
Last raw reading: 713	Time since start: 1890027microseconds
Last raw reading: 198	Time since start: 1895027microseconds
Last raw reading: 747	Time since start: 1900027microseconds
Last raw reading: 846	Time since start: 1905027microseconds
Last raw reading: 551	Time since start: 1910028microseconds
Last raw reading: 252	Time since start: 1915028microseconds
Last raw reading: 315	Time since start: 1920028microseconds
Last raw reading: 799	Time since start: 1925028microseconds
Last raw reading: 675	Time since start: 1930028microseconds
Last raw reading: 651	Time since start: 1935028microseconds
Last raw reading: 302	Time since start: 1940028microseconds
Last raw reading: 150	Time since start: 1945028microseconds
Last raw reading: 614	Time since start: 1950028microseconds
Last raw reading: 742	Time since start: 1955028microseconds
Last raw reading: 828	Time since start: 1960028microseconds
Last raw reading: 596	Time since start: 1965028microseconds
Last raw reading: 501	Time since start: 1970028microseconds
